;non_unique_name;non_unique_address;multiple_hits;no_hits;error
Mayer & Co Beschläge Gmbh;True;True;True;;
Ebner Beteiligungsgesellschaft M.B.H.;True;True;True;;
Graf Holding Gmbh;True;True;True;;
Constantin Film-Holding Gesellschaft M;True;True;True;True;
Magistrat Der Stadt Steyr;True;True;True;True;
Magistrat Der Stadt Wien Ma 6 - Rechnu;True;True;;True;
Fundermax Gmbh;True;True;True;;
Austro Control Österreichische Gesells;True;True;True;;
Grass Gmbh;True;True;True;;
Eaton Industries (Austria) Gmbh;True;True;True;;
Aht Cooling Systems Gmbh;True;True;True;;
Held & Francke Baugesellschaft M.B.H.;True;True;True;True;
Erdal Gesellschaft M.B.H. & Co Kg;True;True;True;;
Deloitte Services Wirtschaftsprüfungs ;True;True;True;;
Donau Chemie Aktiengesellschaft;True;True;True;;
Maco Produktions Gmbh;True;True;True;;
Loacker Recycling Gmbh;True;True;True;True;
Schirnhofer Familien Unternehmen Holdi;True;True;True;;
Arbeitsmarktservice Österreich, Landes;True;True;True;True;
Melecs Ews Gmbh;True;True;;True;
Gartner Kg.;True;True;True;;
Payer International Technologies Gmbh;True;True;True;;
Roxcel Handelsgesellschaft M.B.H.;True;True;True;True;
Ssi Schäfer Automation Gmbh;True;True;True;;
Bundeskanzleramt;True;True;;True;
Josko Fenster Und Türen Gmbh;True;True;True;;
Logistik Service Gmbh;True;True;;True;
Weiß Handels Gmbh;True;True;True;;
Agrana Stärke Gmbh;True;True;True;;
Voestalpine Schienen Gmbh;True;True;True;;
Hagleitner Hygiene International Gmbh;True;True;True;;
Pittel + Brausewetter Gesellschaft M.B;True;True;True;;
Bene Gmbh;True;True;;True;
Öbb-Immobilienmanagement Gesellschaft ;True;True;True;;
Vorarlberger Kraftwerke Aktiengesellsc;True;True;;True;
Ergo Versicherung Aktiengesellschaft;True;True;;True;
Josef Manner & Comp. Aktiengesellschaf;True;True;True;True;
Friedrich Holding Gmbh;True;True;True;;
Semperit Technische Produkte Gesellsch;True;True;True;True;
Scheuch Holding Gmbh;True;True;True;;
Pagro Handelsgesellschaft Mbh;True;True;True;;
G. Hinteregger & Söhne Baugesellschaft;True;True;True;;
Magistrat Der Stadt Wien Ma 70 - Rettu;True;True;True;True;
Linz Service Gmbh Für Infrastruktur Un;True;True;True;;
S. Spitz Gmbh;True;True;True;;
Ubm Development Ag;True;True;True;;
Bernegger Gmbh;True;True;True;;
Sutterlüty Handels Gmbh;True;True;True;;
Eqos Energie Österreich Gmbh;True;True;;True;
Felbermayr Transport- Und Hebetechnik ;True;True;True;;
Thalia Buch & Medien Gmbh;True;True;True;True;
